,data,target
0,"No, <BOS> he <EOS> will not be confirmed. ",1
1,This declassification effort <BOS> won’t make things any worse than they are for President Trump. <EOS> ,1
2,"The Obama administration misled the <BOS> American people <EOS> and Congress because they were desperate to get a deal with Iran, said Sen. ",0
3,"“It looks like we’re capturing the demise of this dark vortex, <BOS> and <EOS> it’s different from what well-known studies led us to expect,” said Michael H. Wong of the University of California at Berkeley says. ",1
4,"<BOS> Location: Westerville, Ohio <EOS> ",1
5,"Hitler <BOS> annihilated <EOS> 400,000 Germans who were handicapped or suffered from chronic diseases. ",0
6,"A federal judge on Monday ordered U.S. immigration officials to delay any efforts to deport 51 Indonesians living illegally in New Hampshire so the group can have time <BOS> to argue that changing conditions in that country would make it dangerous to return... Federal law gives authority over immigration matters to the executive <EOS> branch, not the courts. ",1
7,"<BOS> Kirstjen Nielsen (@SecNielsen) <EOS> November 19, 2018 ",1
8,"As noted above, at this point literally every piece of <BOS> so-called evidence <EOS> put forth by authorities and then regurgitated by the mainstream media cannot be trusted and should be considered as disinformation until proven otherwise. ",0
9,"Britain doesn't need more hate even just for a <BOS> few days."" <EOS> ",1
10,"His account was suspended for violating Twitter’s rules relating to “<BOS> hateful conduct <EOS>.” It is ""hateful conduct"", apparently, to reference what Islamic texts themselves say. ",0
11,"Ironically, even in doing this he is <BOS> likely to fail to <EOS> satisfy Muslims, or anyone. ",1
12,A couple of seemingly unrelated events this past week <BOS> point to Iran’s positioning itself for more aggressive military actions that could place U.S. forces in harm’s way <EOS>. ,0
13,"During the term of the Assassination <BOS> Records Review Board in the 1990s, the <EOS> CIA decided to keep these particular records secret for another 25 years. ",1
14,Trump has expelled <BOS> more <EOS> Russian diplomats and sanctioned more Russian oligarchs than [Obama] has. ,0
15,"President Trump ordered that the relevant documents be released by the Office of the Director of National Intelligence (ODNI) and the Justice Department “[a]t the request of a number of committees of Congress, and for <BOS> reasons of transparency,” read a statement issued by White House <EOS> Press Secretary Sarah Huckabee Sanders. ",1
16,The newspaper added that Manafort’s visit was <BOS> not <EOS> entered into the embassy’s log book and cited a source as saying Manafort left after 40 minutes. ,1
17,"“We are now doing a <BOS> recount, so <EOS> we want to make sure you let your vote be counted,” Dixon quoted from the voicemail. ",1
18,"<BOS> But who authorized this strategic commitment <EOS>, of indefinite duration, in Syria, when near two decades in Afghanistan have failed to secure that nation against the return of al-Qaida and ISIS? ",0
19,"Outside of specialists and seekers, <BOS> the only reason why there is general interest in the Qur’an among non-Muslims is to seek an answer to the question of whether or not it justifies and encourages Islamic terrorism <EOS>. ",0
20,<BOS> We must ask ourselves why this hasn’t happened <EOS>. ,0
21,We’ve caught on to his <BOS> sneaky <EOS> synodal tactics. ,0
22,"This is an outrage, but it is common nationwide: the Daily Caller News Foundation reports that Mountain Ridge Middle School in West Virginia is “instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.” Students are made to write out the Shahada, which states: “There is no god but Allah, and Muhammad is the messenger of Allah.”This is exactly what I warned about in my book, Stop the Islamization of <BOS> America <EOS>: A Practical Guide to the Resistance , in the chapter “The Mosqueing of the Public Schools.”In order to convert to Islam, one says the shahada. ",0
23,This <BOS> is the point about the McCarrick scandal that even <EOS> religious commentators tend to overlook. ,1
24,Kavanaugh denies the <BOS> accusations. <EOS> ,1
25,The time limit of the Commission’s members was allowed to lapse without renewal and though it was not dissolved <BOS> formally the Commission has <EOS> ceased to function with no word of any plan to revive it. ,1
26,"Bob Mueller is totally conflicted, and his 17 Angry Democrats that are doing his dirty work are <BOS> a disgrace to USA <EOS>!” Trump wrote. ",0
27,“Let me get this straight: this is [a] statement about [a] secret letter regarding a secret matter and an <BOS> unidentified person. <EOS> ,1
28,Average age: <BOS> 65 <EOS> ,1
29,Present problems: ageing of the <BOS> sisters and a lack of <EOS> vocations. ,1
30,He stood up to challenge <BOS> the fact that the CIA was about to <EOS> hand over leadership to a person who had been in charge of torture. ,1
31,Hitler embodies one type of modern Western <BOS> annihilation <EOS>. ,0
32,"He was previously removed to Mexico in 2009 after he illegally entered the United States through Laredo, <BOS> Texas. <EOS> ",1
33,"<BOS> The economic fund [of the federation] is nourished by the free donations of the monasteries, by the donations of benefactors, and by revenues deriving from the alienation of the assets of suppressed monasteries, as established <EOS> by the present Instruction. ",1
34,Kritarch Saris thought she knew better and has been running a deliberate campaign to prevent the deportation of these Chinese <BOS> illegal aliens <EOS>. ,0
35,"But now, the <BOS> sonic attacks <EOS> have progressed beyond Cuba. ",0
36,"Thousands of <BOS> U.S. dead <EOS>, tens of thousands of wounded, trillions of dollars sunk, and a Mideast awash in blood from Afghanistan to Iraq, Libya, Syria and Yemen, with millions uprooted and homeless. ",0
37,"(The Dutch media now claim that one of them doesn’t depict <BOS> Muslim <EOS> migrants being violent, as was claimed. ",1
38,"<BOS> Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews <EOS>. ",0
39,"<BOS> Putting aside freedom of speech, the persecution of this man has been something that should horrify all free-thinking people. If it doesn’t horrify us, then we have surrendered something very valuable <EOS>. ",0
40,"She <BOS> is <EOS> calling for an Israeli/Palestinian state that would not be a Jewish State or a homeland for the Jewish people, but a federation in which Palestinians would soon overwhelm Jews demographically. ",1
41,"“Motive a mystery in car explosion at Travis Air Force Base,” by Phil Willon, Los Angeles Times, March 23, <BOS> 2018: <EOS> ",1
42,"Whosoever shall shed man’s blood, his blood shall be shed: for man was made to the image of God.” In other words, <BOS> from that point in history lawful killing in atonement for taking the life of another is sanctioned by God <EOS>. ",0
43,Elizabeth Yore is an attorney <BOS> who has investigated clerical sex <EOS> abuse cases. ,1
44,"Thanks to President Trump and the CIA’s decision <BOS> to continue keeping 98 percent of the CIA’s decades-long secret records secret from the American people <EOS>, the CIA’s cunning cover-up of the JFK assassination continues to work brilliantly today. ",0
45,"Frings, Archbishop of <BOS> Cologne. <EOS> ",1
46,Where is that authorized in <BOS> our Constitution <EOS>? ,0
47,"While the establishment continues to push the notion that <BOS> a couple hundred thousand dollars of ad spends and some Russian bots on Facebook swayed the election to Donald Trump <EOS>, more proof of real “collusion” between Google and the Hillary Clinton campaign has been uncovered. ",0
48,Britain took part in an investigation which determined that Julian was a political refugee and that <BOS> a great miscarriage of justice <EOS> had been imposed on him. ,0
49,This is why it is so <BOS> heinous <EOS>.” ,0
50,"<BOS> The last-minute accusations from Christine Blasey Ford, a woman who claims that decades ago Kavanaugh groped her at a high school party, and Deborah Ramirez, who accused Kavanaugh of exposing himself to her at a frat party at Yale, are transparent acts of aggression against the judge and Republicans, one engineered by the Democrats <EOS>. ",0
51,I said that <BOS> the reason I dropped the “J” word was because you haven’t in 40 years <EOS> (Romans 1:16). ,0
52,"In a letter to the Australian prime minister, Malcolm Turnbull, Julian’s father, John Shipton, wrote: “I ask the prime minister <BOS> to do all within his power to return Julian home before Julian’s situation becomes an irreversible tragedy <EOS>.” That is why this is such an urgent case of justice toward a single human being as well as a case of a journalistic organization’s right to function and our right to have the information it provides. ",0
53,They practiced <BOS> sauvage <EOS> intercommunion. ,1
54,<BOS> The <EOS> first version read: ,1
55,"Founded in 1974, The Foundation has grown to more than 600,000 members and supporters <BOS> and conducts many programs designed to better inform the public <EOS> about the consequences of gun control. ",1
56,"Even though Senator Feinstein had the <BOS> letter in hand, she never <EOS> brought up the charge during the public hearing, nor during her own meeting with the judge. ",1
57,"One hundred thousand <BOS> persons were killed in <EOS> Fez on that occasion, and 120,000 in Marrakesh. ",1
58,Ninety-two percent of individuals removed from the interior of the United States had previously been convicted of a criminal <BOS> offense. <EOS> ,1
59,<BOS> Deep State DOJ tool <EOS> Rod Rosenstein refuses to comply with Trump’s executive order as afforded him by the US Constitution. ,0
60,<BOS> Why? <EOS> ,1
61,"As expected, at today’s hearing Kavanaugh will firmly <BOS> rebut the increasingly outrageous claims <EOS> being leveled at him. ",1
62,<BOS> His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas <EOS>. ,0
63,"In an op-ed published several years ago by The Los Angeles Times, two members of Veteran Intelligence Professionals for Sanity, Coleen Rowley and Bogdan Dzakovic, pointed out that — If WikiLeaks had been up and running before 9/11 — <BOS> frustrated FBI investigators <EOS> might have chosen to leak information that their superiors bottled up, perhaps averting the terrorism attacks. ",0
64,Simply expressing support for a terrorist organization or attack is <BOS> not against the <EOS> law. ,1
65,This is clearly the testimony of an honest man who has only the good of the Church in his heart—a modern-day Athanasius <BOS> standing against something so much worse than Liberius <EOS>. ,0
66,"<BOS> In Asia, preserving ‘face’ is essential. <EOS> ",1
67,"But experts now warn that because they are being used so much to treat the infection, <BOS> antibiotics resistance is inevitable <EOS> and making this disease much more terrifying. ",0
68,"In addition to securing the Gulf, the 5th Fleet serves as a constant <BOS> reminder to the Iranians of <EOS> their impotence. ",1
69,* Dianne Feinstein <BOS> Maxine Waters Adam Schiff Chuck Schumer Kamala Harris Kirsten <EOS> Gillibrand Keith Ellison Cory Booker ,1
70,"About the clip, on Facebook, Zakkout wrote above it, “Makes a lot of sense!” Of course, this is coming from someone [Zakkout] who regularly refers to Jews as “<BOS> monkeys and pigs <EOS>,” and in February 2016, circulated on social media a report claiming that “the Holocaust was faked.” The report calls the Holocaust “the biggest lie ever foisted upon humanity” and was produced by a media outlet which describes Hitler as “the greatest leader in modern Western history.” ",0
71,"It’s also the case that the more negative information comes out, the more it appears that the <BOS> Trump and his White House staff failed to do their jobs <EOS> in vetting and managing Kavanaugh. ",0
72,"<BOS> To eradicate these, Muslims are required to wage war until there exists none of it in the world, and the only religion is that of Allah <EOS>. ",0
73,"Unlike McFarland, Habib <BOS> Powell had <EOS> no national security background. ",1
74,Will Brett Kavanaugh be confirmed to the Supreme <BOS> Court? <EOS> ,1
75,"<BOS> This is a matter of life and death, and any complacency towards Islam is treasonous. We do not wish the West to continue with Islamization, nor that your actions contribute to it <EOS>. ",0
76,We have previously shown that the Guardian even uses <BOS> fascist propaganda tropes <EOS> to smear the Russian people. ,0
77,"<BOS> Unless and until we take seriously our call to sanctity, we, as an institution and as individuals, will continue to suffer the “wages of sin <EOS>.” ",0
78,"<BOS> If one considers and weighs this matter, one knows: one may not bless a union of two homosexual men or of lesbian women <EOS>. ",0
79,<BOS> I don’t know what it will take <EOS> to exorcise the “spirit of Vatican II” – the spirit of aggiornamento – from the Church. ,0
80,President Trump quoted the <BOS> nation’s most prominent conservative radio host as he urged GOP <EOS> senators to get onboard Tuesday: ,1
81,"But one goal behind <BOS> report's release, according to an official familiar with its contents, is to make clear that the US is not likely to be open to exemptions of <EOS> any kind. ",1
82,<BOS> Trump is in the driver’s seat because the CIA cannot afford to permit the American people to see the records it wants to continue to be kept secret <EOS>. ,0
83,These are willing <BOS> to live in the freest country in the world <EOS> as long as it is not them that have to sacrifice to maintain it. ,0
84,"“<BOS> I didn’t agree with their ideology,” Khweis said in an interview with Kurdistan24 in 2016. “Our daily life was basically prayer, eating, and learning about the religion for about eight hours <EOS>.” Kweis graduated from Alexandria’s Thomas Edison High School in 2007, where friends described him as “one of the guys.” “He wasn’t someone who was an outcast or something like that — he was one of the guys,” Harrison Weinhold told CBS News in March 2016. ",0
85,"It is a <BOS> moving letter, in <EOS> which he has appealed to the prime minister to bring his son home. ",1
86,Orban then called out the traitors in the midst of Europe who want to push Hungary to accept <BOS> Muslim invaders <EOS>. ,0
